1020.0,,,,,,4.0,9.5,,,,,,,,,,,,,,,,,,,,
1030.0,,,,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,
1040.0,,,,,,2.0,9.0,,,,,,,,,,,,,,,,,,,,
1050.0,,,,,,2.0,9.0,,,,,,,,,,,,,,,,,,,,
1060.0,,,,,,2.0,11.5,,,,,,,,,,,,,,,,,,,,
1070.0,,,,,,3.0,10.0,,,,,,,,,,,,,,,,,,,,
1080.0,,,,,,5.0,10.0,,,,,,,,,,,,,,,,,,,,
1090.0,,,,,,2.0,8.0,,,,,,,,,,,,,,,,,,,,
1100.0,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,
1110.0,,,,,,4.0,11.0,,,,,,,,,,,,,,,,,,,,
1120.0,,,,,,1.0,11.0,,,,,,,,,,,,,,,,,,,,
1130.0,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,
1140.0,,,,,,4.0,6.0,1.0,,,,,,,,,,,,,,,,,,,
1150.0,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,
1160.0,,,,,,3.0,9.0,,,,,,,,,,,,,,,,,,,,
1170.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
1180.0,,,,,,2.0,9.0,,,,,,,,,,,,,,,,,,,,
1190.0,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,
1200.0,,,,,,2.0,9.0,,,,,,,,,,,,,,,,,,,,
1210.0,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,
1220.0,,,,,,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
1230.0,,,,,,1.0,11.0,,,,,,,,,,,,,,,,,,,,
1240.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
1250.0,,,,,,3.0,8.0,,,,,,,,,,,,,,,,,,,,
1260.0,,,,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,
1270.0,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,
1280.0,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,
1290.0,,,,,,3.5,8.5,,,,,,,,,,,,,,,,,,,,
1300.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1310.0,,,,,,1.0,8.0,2.0,,,,,,,,,,,,,,,,,,,
1320.0,,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,,
1330.0,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,
1340.0,,,,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,
1350.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
1360.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
1370.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
1380.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
1390.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1400.0,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,
1410.0,,,,,1.0,2.5,6.0,,,,,,,,,,,,,,,,,,,,
1420.0,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,
1430.0,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,
1440.0,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,
1450.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,
1460.0,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,
1470.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
1480.0,,,,,,0.5,5.0,,,,,,,,,,,,,,,,,,,,
1490.0,,,,,,3.0,10.0,,,,,,,,,,,,,,,,,,,,
1500.0,,,,,,1.0,2.5,1.0,,,,,,,,,,,,,,,,,,,
1510.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
1520.0,,,,,,0.5,8.0,,,,,,,,,,,,,,,,,,,,
1530.0,,,,,,1.0,9.0,,,,,,,,,,,,,,,,,,,,
1540.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
1550.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1560.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
1570.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
1580.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1590.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
1600.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1610.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
1620.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,
1630.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
1640.0,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,
1650.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
1660.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
1670.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
1680.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1690.0,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,
1700.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1710.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
1720.0,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,
1730.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1740.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1750.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1760.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
1770.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,
1780.0,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,
1790.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1800.0,,,,,,2.5,3.0,,,,,,,,,,,,,,,,,,,,
1810.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
1820.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
1830.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
1840.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
1850.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
1860.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1870.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
1880.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1890.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
1900.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
1910.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1920.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1930.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1940.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
1950.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1960.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1980.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2000.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2010.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
2030.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2040.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2050.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2060.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2070.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2090.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2110.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
2120.0,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,
2150.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2160.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2170.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2180.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2190.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2200.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2220.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
2230.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2240.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2250.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2270.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2280.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2290.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2300.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
2320.0,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
2330.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2370.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2380.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2400.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2450.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2460.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2480.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
